SYMBOL	NAME	SHARES	AVG_PRICE	BUY_BELOW	SELL_ABOVE	ACTION
CORONA	Corona Remedies	3	1062.00	1400	2000	HOLD
TCS	TCS	1	2429.00	3200	4500	HOLD
BHARTIARTL	Bharti Airtel	1	1811.00	1700	2200	HOLD
RELIANCE	Reliance Industries	1	1451.00	1300	1800	HOLD
AUROPHARMA	Aurobindo Pharma	1	1349.75	1150	1500	HOLD
SBIN	SBI	1	974.75	900	1400	HOLD
NUVAMA	Groww (Nuvama)	4	128.88	100	250	HOLD
VEDL	Vedanta	1	658.70	600	900	WATCH
HINDCOPPER	Hindustan Copper	1	386.90	250	500	HOLD
BEL	Bharat Electronics	1	434.40	400	600	HOLD
COALINDIA	Coal India	1	400.25	350	550	HOLD
NTPC	NTPC	1	380.95	340	500	HOLD
TATAPOWER	Tata Power	1	415.40	380	550	HOLD
TATSILV	Tata Silver (TATSILV)	5	26.95	0	30	EXIT
IDFCFIRSTB	IDFC First Bank	2	77.25	0	70	EXIT
ITC	ITC	1	304.75	280	400	HOLD
TEJASNET	Tejas Networks	1	454.50	400	700	HOLD
NATIONALUM	NALCO	1	363.00	300	500	WATCH
CEWATER	Concord Enviro	1	317.90	250	500	WATCH
SUZLON	Suzlon Energy	1	40.74	35	70	WATCH
NBCC	NBCC India	1	80.67	75	150	HOLD
ETERNAL	Zomato (Eternal)	1	235.17	220	300	HOLD
RENUKA	Shree Renuka Sugars	7	28.31	25	50	WATCH
MODEFENCE	MODEFENCE ETF	1	83.24	75	150	HOLD
MONIFTY500	MONIFTY500 ETF	10	21.44	18	40	HOLD
MON100	Motilal Nasdaq 100	2	244.58	200	400	HOLD
MAFANG	Mirae FANG+ ETF	3	174.00	160	300	HOLD
SILVERIETF	ICICI Silver ETF	14	271.79	200	350	WATCH
GOLDIETF	ICICI Gold ETF	2	113.67	100	200	HOLD
